state,year,month,period,indicator,percent_complete,percent_pending_investigation,state_name,footnote,footnote_symbol,data_value,predicted_value,date
AK,2025,September,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,35.0,35,2025-09-01
AK,2025,October,12 month-ending,Cocaine (T40.5),100,0,Alaska,Underreported due to incomplete data.,*,38.0,38,2025-10-01
AK,2015,January,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-01-01
AK,2015,February,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-02-01
AK,2015,March,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-03-01
AK,2015,April,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-04-01
AK,2015,May,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-05-01
AK,2015,June,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-06-01
AK,2015,July,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-07-01
AK,2015,August,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-08-01
AK,2015,September,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-09-01
AK,2015,October,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,39.0,39,2015-10-01
AK,2015,November,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,34.0,34,2015-11-01
AK,2015,December,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes. Data not shown due to low data quality.,**,,,2015-12-01
AK,2016,January,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,35.0,35,2016-01-01
AK,2016,February,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,37.0,37,2016-02-01
AK,2016,March,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,38.0,38,2016-03-01
AK,2016,April,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,40.0,40,2016-04-01
AK,2016,May,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,44.0,44,2016-05-01
AK,2016,June,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,40.0,40,2016-06-01
AK,2016,July,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,42.0,42,2016-07-01
AK,2016,August,12 month-ending,Heroin (T40.1),100,0.023386342,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,39.0,39,2016-08-01
AK,2016,September,12 month-ending,Heroin (T40.1),100,0.046992481,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,37.0,37,2016-09-01
AK,2016,October,12 month-ending,Heroin (T40.1),100,0.069913773,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,38.0,38,2016-10-01
AK,2016,November,12 month-ending,Heroin (T40.1),100,0.069946374,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,45.0,45,2016-11-01
AK,2016,December,12 month-ending,Heroin (T40.1),100,0.068886338,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,49.0,49,2016-12-01
AK,2017,January,12 month-ending,Heroin (T40.1),100,0.068587106,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,50.0,50,2017-01-01
AK,2017,February,12 month-ending,Heroin (T40.1),100,0.069013112,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,49.0,49,2017-02-01
AK,2017,March,12 month-ending,Heroin (T40.1),100,0.068823125,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,47.0,47,2017-03-01
AK,2017,April,12 month-ending,Heroin (T40.1),100,0.069364162,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,43.0,43,2017-04-01
AK,2017,May,12 month-ending,Heroin (T40.1),100,0.070142623,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,40.0,40,2017-05-01
AK,2017,June,12 month-ending,Heroin (T40.1),100,0.070159027,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,42.0,42,2017-06-01
AK,2017,July,12 month-ending,Heroin (T40.1),100,0.07082153,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,44.0,44,2017-07-01
AK,2017,August,12 month-ending,Heroin (T40.1),100,0.047236656,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,46.0,46,2017-08-01
AK,2017,September,12 month-ending,Heroin (T40.1),100,0.023261224,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,46.0,46,2017-09-01
AK,2017,October,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,46.0,46,2017-10-01
AK,2017,November,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,38.0,38,2017-11-01
AK,2017,December,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,36.0,36,2017-12-01
AK,2018,January,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,36.0,36,2018-01-01
AK,2018,February,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,37.0,37,2018-02-01
AK,2018,March,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,35.0,35,2018-03-01
AK,2018,April,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,36.0,36,2018-04-01
AK,2018,May,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,33.0,33,2018-05-01
AK,2018,June,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,31.0,31,2018-06-01
AK,2018,July,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,26.0,26,2018-07-01
AK,2018,August,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,24.0,24,2018-08-01
AK,2018,September,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,24.0,24,2018-09-01
AK,2018,October,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,24.0,24,2018-10-01
AK,2018,November,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,28.0,28,2018-11-01
AK,2018,December,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,28.0,28,2018-12-01
AK,2019,January,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,27.0,27,2019-01-01
AK,2019,February,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,31.0,31,2019-02-01
AK,2019,March,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,35.0,35,2019-03-01
AK,2019,April,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,35.0,35,2019-04-01
AK,2019,May,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,37.0,37,2019-05-01
AK,2019,June,12 month-ending,Heroin (T40.1),100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,40.0,40,2019-06-01
